trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.7, 'e': 43.85000000000035}",20,0,-214.84085741691928,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
124,False,"{'a': 0.7, 'e': 43.80000000000035}",25,0,-99.86903707987221,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
125,False,"{'a': 0.7, 'e': 43.750000000000355}",20,0,-139.58750952999583,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",1
126,False,"{'a': 0.7, 'e': 43.70000000000036}",25,0,-78.02185572131117,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
127,False,"{'a': 0.7, 'e': 43.65000000000036}",20,0,-124.08060016885831,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
128,False,"{'a': 0.7, 'e': 43.600000000000364}",20,0,-45.342077552819426,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.7, 'e': 43.55000000000037}",20,0,-91.59085083521558,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
130,False,"{'a': 0.7, 'e': 43.50000000000037}",35,0,-95.64783741075593,"{0: 23, 1: 8, 2: 2, 3: 1, 4: 1}",0
131,False,"{'a': 0.7, 'e': 43.45000000000037}",20,0,-112.4706146169966,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
132,False,"{'a': 0.7, 'e': 43.400000000000375}",20,0,-75.52978582454611,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.7, 'e': 43.35000000000038}",30,0,-84.13838166891836,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 43.30000000000038}",25,0,-189.2959694799341,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
135,False,"{'a': 0.7, 'e': 43.250000000000384}",20,0,-60.76838250860828,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
